Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
LMV,VOLVO AUTO INDIA PVT LTD,0,0,0,0,0,0,0,35,570,317
3W,VORC MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,3
3W,VRINDA ENTERPRISES,0,6,44,151,290,191,113,446,1080,847
3W,VSL INDUSTRIES,0,0,0,0,0,0,44,7,0,1
3W,VVA AUTO INDUSTRIES PVT LTD,2,77,22,5,0,1,0,0,0,0
2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,314,6910,7166
3W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,0,0,18
LMV,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,0,0,2
2W,WARIVO MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,0,1,23
3W,WASAN E-MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,13,80,20
3W,WELCOME E RICKSHAW,0,1,2,1,0,0,2,0,0,0
3W,WELKIN HEALTHCARE PVT LTD,0,0,0,25,67,68,22,114,30,29
2W,WHITE CARBON MOTORS PVT LTD,0,0,0,0,0,0,21,82,42,20
MMV,WIRTGEN INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0
3W,WOX COOLERS PVT LTD,0,0,26,61,17,0,0,1,2,2
2W,WUXI DONGMA (IMPORTER: DYNAM PRECISION),0,0,0,0,0,0,0,6,15,6
2W,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),0,0,0,0,0,0,0,2,275,64
2W,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),0,0,0,0,0,0,0,0,4,63
2W,WUXI NOOMA (IMPORTER: KKL HITECH EV),0,0,0,0,0,0,0,0,0,1
2W,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),0,0,0,0,0,0,0,0,10,4
2W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,0,0,0,0,0,0,68,21
3W,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),0,0,0,0,0,0,0,0,0,4
2W,WUXI SAIGE (IMPORTER: ELECTRO-TECH),0,0,0,0,0,0,0,0,8,9
2W,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),0,0,0,0,0,0,0,12,15,4
2W,WUXI SAIGE (IMPORTER: NGAGE IMPEX),0,0,0,0,0,0,0,0,2,11
2W,WUXI SAIGE (IMPORTER: WARIVO MOTOR),0,0,0,0,0,0,0,1,426,282
2W,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),0,0,0,0,0,0,0,0,4,22
2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),0,0,0,0,0,0,0,4,182,109
2W,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),0,0,0,0,0,0,0,6,54,3
2W,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),0,0,0,0,0,0,0,0,1,45
2W,WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),0,0,0,0,0,0,0,0,0,48
2W,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),0,0,0,0,0,0,0,0,37,6
2W,WUXI TENGHUI (IMPORTER: FEZORA INDIA),0,0,0,0,0,0,0,0,35,16
2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,72,157
2W,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),0,0,0,0,0,0,0,0,22,10
2W,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),0,0,0,0,0,0,0,0,389,168
2W,WUXI TENGHUI (IMPORTER: JAIDKA POWER),0,0,0,0,0,0,0,0,8,1
2W,WUXI TENGHUI (IMPORTER: JOZHI SERVICES),0,0,0,0,0,0,0,0,0,36
2W,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),0,0,0,0,0,0,0,0,2,7
2W,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,0,0,0,12,4
2W,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),0,0,0,0,0,0,0,15,278,167
2W,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),0,0,0,0,0,0,0,0,17,18
2W,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),0,0,0,0,0,0,0,0,12,12
2W,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),0,0,0,0,0,0,0,0,316,102
3W,XPLORE AUTOMOTIVE PVT LTD,0,42,62,3,0,0,0,0,0,0
3W,XXPLORE AUTOMATIVE PVT LTD,0,31,49,15,11,1,1,12,2,0
3W,XXPLORE AUTOMOTIVE PVT. LIMITED,0,22,86,87,129,43,39,15,6,0
3W,Y.C.ELECTRIC VEHICLE,780,3348,43,46,1,0,0,0,0,0
3W,YAARI AUTOMOBILES PVT LTD,0,0,0,0,29,88,58,1,3,79
2W,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),0,0,0,0,0,0,0,25,16,1
2W,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),0,0,0,0,0,0,0,1,9,0
2W,YANGGUANG LINGMU (IMPORTER: ECOINDIA),0,0,0,0,0,0,0,0,4,1
2W,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,61,96
2W,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),0,0,0,0,0,0,0,13,27,13
2W,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),0,0,0,0,0,0,0,0,11,13
3W,YC ELECTRIC VEHICLE,1,1665,7434,10816,13213,9543,15793,29793,40794,23892
LMV,YC ELECTRIC VEHICLE,0,0,0,0,2,2,0,1,2,0
3W,YC ELECTRIC VEHICLE PVT LTD,0,0,30,14,24,8,1,0,0,0
3W,YEZDI MOTORS LTD,0,0,2,0,0,0,0,0,0,0
2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,0,0,0,0,0,0,82,109
2W,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),0,0,0,0,0,0,0,0,80,101
2W,YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),0,0,0,0,0,0,0,0,0,3
2W,YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),0,0,0,0,0,0,0,0,0,36
2W,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),0,0,0,0,0,0,0,0,2,11
2W,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),0,0,0,0,0,0,0,0,218,232
2W,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),0,0,0,0,0,0,0,0,0,23
2W,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),0,0,0,0,0,0,0,0,36,67
2W,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),0,0,0,0,0,0,0,0,20,37
3W,YUVRAJ INTERNATIONAL,0,0,0,71,31,3,4,5,0,0
LMV,YUVRAJ INTERNATIONAL,0,0,0,1,0,0,0,0,0,0
2W,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),0,0,0,0,0,0,0,35,128,48
2W,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,0,0,0,0,32,7
3W,ZBEE INDIA PVT LTD,0,0,0,16,2,2,1,0,0,0
3W,ZENIAK INNOVATION INDIA LTD,0,10,605,789,1621,1281,931,1561,2836,2626
LMV,ZENIAK INNOVATION INDIA LTD,0,0,0,0,0,0,0,1,0,0
3W,ZENTHIUM EV PVT LTD,0,0,0,0,0,0,118,223,718,612
3W,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,382,3563,3578
3W,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,3,11,55
3W,ZESAR MOTORS PVT LTD,0,0,4,12,12,8,15,23,37,19
2W,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),0,0,0,0,0,0,0,21,45,9
2W,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),0,0,0,0,0,0,0,0,64,6
2W,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),0,0,0,0,0,0,0,0,0,54
2W,ZHONGXING (IMPORTER:GREENO AUTOMOBILE),0,0,0,0,0,0,0,0,0,5
3W,ZOHAN TRADERS AND BIG METRO,0,0,0,0,0,0,0,5,131,74
